window_id,singing_prob,music_prob,snr_db,dnsmos_ovrl
z0d7n9QxYiE_008,0.7038180232048035,0.2897089421749115,14.15416145324707,1.9818849340523368
MDNBEqwzQTA_009,0.7012563943862915,0.2770695686340332,13.635004043579102,1.4470880350353106
RnH3K-ddpjs_006,0.6615265607833862,0.3795410990715027,-6.652294635772705,1.0863042225132624
YNw8-7yDYqQ_005,0.6536856293678284,0.1302793771028518,52.38956451416016,3.2309865177745087
MDNBEqwzQTA_006,0.6321457028388977,0.178030714392662,15.240344047546388,2.608539727898311
XNW1Cjr6bLg_005,0.6309643387794495,0.5304961800575256,9.963342666625977,1.6236871010501597
RnH3K-ddpjs_003,0.6126965284347534,0.6074503064155579,-2.607257604598999,1.1580794463170332
RnH3K-ddpjs_007,0.6064867973327637,0.3031531870365143,-2.69560980796814,1.7331184191503906
XNW1Cjr6bLg_007,0.5860586762428284,0.2570549845695495,12.658927917480469,2.413685886788865
RnH3K-ddpjs_005,0.5719227194786072,0.8333344459533691,9.592314720153809,2.3828683318181785
XNW1Cjr6bLg_006,0.5600711107254028,0.3024531602859497,-1.902340531349182,1.140480942931813
XNW1Cjr6bLg_002,0.5099191069602966,0.4747196733951568,4.601684093475342,2.26106041145628
r30aV9fQcr0_005,0.5044968128204346,0.3582386672496795,29.580310821533203,2.757811547836729
